22nya	dua-duanya
lucuu	lucu
lum	belum
lupain	lupakan
lurusin	luruskan
luthu	lucu
luthuna	lucunya
lutuna	lucunya
lutunaa	lucunya
maacih	terima kasih
maaciw	terima kasih
maafin	maafkan
maap	maaf
maapin	maafkan
mabes	markas besar
macem	macam
macem-macem	macam-macam
madesu	masa depan suram
maem	makan
maen	main
maennya	mainnya
mahall	mahal
mak	ibu
makany	makanya
makanyaa	makanya
makasi	terima kasih
makasih	terima kasih
maksain	memaksakan
maksd	maksud
maksih	terima kasih
malangg	malang
malem	malam
males	malas
malingg	maling
malsudnya	maksudnya
maluu	malu
mampuss	mampus
mampuus	mampu
mampuuss	mampus
maneh	kamu
manies	manis
maniez	manis
maniss	manis
mantaap	mantap
mantab	mantap
mantabs	mantap
mantaff	mantap
mantanny	mantannya
mantapp	mantap
mantaps	mantap
manteb	mantap
manteep	mantap
mantep	mantap
mantepp	mantap
marah2an	marah-marahan
masalahh	masalah
maslah	masalah
masukin	masukkan
masyaallah	masya allah
masyaallahh	masya allah
masyaalloh	masya allah
masyaaloh	masya allah
masyarakay	masyarakat
masyoallah	masya allah
matany	matanya
mataq	mataku
mateek	mati
matek	mati
matii	mati
mauu	mau
mayan	lumayan
mayann	lumayan
mblo	jomblo
mbloo	jomblo
melahirin	melahirkan
melakukn	melakukan
melebihin	melebihi
mendapatkn	mendapatkan
menegerti	mengerti
mengait2kan	mengait-ngaitkan
mengalahkn	mengalahkan
menghilangkn	menghilangkan
mengikutii	mengikuti
menjdi	menjadi
mentertawakan	menertawakan
menyenangkn	menyenangkan
merekaa	mereka
meriahh	meriah
merindingg	merinding
mesrany	mesranya
met	selamat
mgk	mungkin
mgkin	mungkin
mgkn	mungkin
milih	memilih
mimin	admin
mimpii	mimpi
miras	minuman keras
miriip	mirip
miripp	mirip
mkanya	makanya
mkin	semakin
mknya	makanya
mksd	maksud
mksdku	maksudku
mksdny	maksudnya
mksdnya	maksudnya
mksdx	maksudnya
mksh	terima kasih
mksih	terima kasih
mkst	maksud
mksud	maksud
mlah	malah
mlepaskan	melepaskan
mlikk	milik
mlm	malam
mls	malas
mmang	memang
mmbanggakan	membanggakan
mmbela	membela
mmberi	memberi
mmberikan	memberikan
mmberikn	memberikan
mmg	memang
mmperbaiki	memperbaiki
mnambh	menambah
mncoba	mencoba
mndaptkan	mendapatkan
mnding	mending
mndpat	mendapat
mndpt	mendapat
mnerima	menerima
mngerti	mengerti
mnghina	menghina
mngikuti	mengikuti
mngira	mengira
mngkannya	mangkanya
mngkin	mungkin
mngkn	mungkin
mnilai	menilai
mnis2nya	manis-manisnya
mniss	manis
mnjadi	menjadi
mnjawab	menjawab
mnjdi	menjadi
mnjdkan	menjadikan
mnjijikaan	menjijikkan
mnjmput	menjemput
mnjual	menjual
mnrtkuu	menurutku
mnta	minta
mntn	mantan
mnusuk	menusuk
mnutup	menutup
mo	mau
modes	modis
moga	semoga
mokad	mati
mokat	mati
motret	memotret
mpe	sampai
mrah	marah
mrangkul	merangkul
mreka	mereka
mrekaa	mereka
mrip	mirip
mrk	mereka
mrka	mereka
mrnghadapi	menghadapi
mrusak	merusak
msalah	masalah
msg-msg	masing-masing
msh	masih
msih	masih
mskasih	terima kasih
mskpn	meskipun
mslh	masalah
mslhnya	masalahnya
msng-msng	masing-masing
msuk	masuk
muahal	mahal
muall	mual
muantaap	mantap
muantab	mantap
muantap	mantap
muantep	mantap
muantteepp	mantap
mubes	musyawarah besar
mudaa	muda
mudah " an	mudah-mudahan
mudah " n	mudah-mudahan
mudah2an	mudah-mudahan
mudah2n	mudah-mudahan
mudh " an	mudah-mudahan
muga	semoga
muka "	muka-muka
mukae	mukanya
mukanyaa	mukanya
mukax	mukanya
muke	muka
muliany	mulianya
mulu	melulu
muluss	mulus
mulutny	mulutnya
mulutnyaa	mulutnya
muluu	melulu
mumpung	selagi
muna	munafik
munaafikk	munafik
munafikk	munafik
munafiq	munafik
munas	musyawarah nasional
munaslub	musyawarah nasional luar biasa
mungki	mungkin
mungkiin	mungkin
munkinn	munkin
muraah	murah
murahh	murah
murmer	murah meriah
mutihin	memutihkan
mutuain	memutuskan
mutusin	memutuskan
muup	maaf
muupz	maaf
muuv	maaf
mw	mau
n	dan
naahh	nah
naek	naik
nafass	nafas
nafkahin	menafkahi
naggung	menanggung
nagiss	menangis
nahan	menahan
nahann	menahan
nahh	nah
najiis	najis
najiss	najis
nakutin	menakuti
nal	kenal
nama "	nama-nama
namain	menamai
namany	namanya
namax	namanya
namnya	namanya
nampar	menampar
nanam	menanam
nanget	banget
nanggepin	menanggapi
nangiis	menangis
nangiiss	menangis
nangis	menangis
nangis "	menangis-nangis
nantangin	menantang
nantii	nanti
naon	apa
napa	kenapa
napi	narapidana
napol	narapidana politik
napsuu	napsu
nari	menari
narik	menarik
nasehatin	menasihati
nasgor	nasi goreng
natap	menatap
naturall	natural
nawarin	menawari
nda	tidak
ndak	tidak
ndiri	sendiri
ndukung	mendukung
ndut	gemuk
negri	negeri
nekolim	neokolonialisme
nekolin	neokolonialisme
nelfon	menelepon
nembak	menembak
nempel	menempel
nemuin	menemukan
nenek "	nenek-nenek
nengok	menengok
nentuin	menentukan
nerawang	menerawang
nerima	menerima
nerusin	meneruskan
netaas	menetas
netes	menetes
ngabis2in	menghabiskan
ngaca	mengaca
ngacaa	mengaca
ngadain	mengadakan
ngadu	mengadu
ngajak	mengajak
ngajar	mengajar
ngajarin	mengajari
ngaji	mengaji
ngajuin	mengajukan
ngak	tidak
ngaku	mengaku
ngaku "	mengaku-ngaku
ngalah	mengalah
ngalahin	mengalahi
ngalir	mengalir
ngalirr	mengalir
ngamatin	mengamati
ngambek	marah
ngambekan	marahan
ngambeknya	marahnya
ngambil	mengambil
nganggepin	menanggapi
ngantar	mengantar
ngantri	mengantri
ngapus	menghapus
ngarang	mengarang
ngarep	mengharap
ngarepp	mengharap
ngarsipin	mengarsipkan
ngaruh	berpengaruh
ngasih	memberi
ngata2i	mengata-ngatai
ngata2in	mengata-ngatai
ngatai	mengatai
ngatain	mengatai
ngatur	mengatur
ngayal	mengkhayal
ngcpin	mengucapkan
ngebales	membalas
ngebantu	membantu
ngebedain	membedakan
ngebela	membela
ngebenci	membenci
ngebiarin	membiarkan
ngebolehin	membolehkan
ngebuktiin	membuktikan
ngecek	mengecek
ngeditnya	mengeditnya
ngedukung	mendukung
ngegampar	menggampar
ngegantiin	menggantikan
ngegemesin	menggemaskan
ngegmesin	menggemaskan
ngehakimi	menghakimi
ngehancurin	menghancurkan
ngehina	menghina
ngehujat	menghujat
ngeidealin	mengidealkan
ngejatuhin	menjatuhkan
ngejelek2in	menjelek-jelekkan
ngejilat	menjilat
ngejuangin	memperjuangkan
ngeklaim	mengklaim
ngelahirin	melahirkan
ngelakuin	melakukan
ngelamar	melamar
ngelaporin	melaporkan
ngelarang	melarang
ngelawak	melawak
ngelawan	melawan
ngelewati	melewati
ngeliat	melihat
ngeliatin	melihat
ngeliatnya	melihatnya
ngelidur	mengigau
ngelihat	melihat
ngelihatnya	melihatnya
ngelindur	mengigau
ngeluarin	mengeluarkan
ngelucu	melucu
ngepake '	memakai
ngerampas	merampas
ngerampok	merampok
ngerasa	merasa
ngerasain	merasakan
ngerayain	merayakan
ngerebut	merebut
ngerendahin	merendahkan
ngerespon	merespon
ngerii	seram
ngerri	seram
ngerrii	seram
ngerti	mengerti
ngertii	mengerti
ngertiin	mengerti
ngerussak	merusak
ngeselin	mengesalkan
nget	banget
ngetik	mengetik
ngets	banget
ngetsz	banget
ngg	tidak
ngga	tidak
nggaak	tidak
nggak	tidak
nggakk	tidak
nggali	menggali
nggk	tidak
ngidam	mengidam
ngidealkan	mengidealkan
ngikutin	mengikuti
ngilang	menghilang
ngilangin	menghilangkan
nginep	menginap
ngingetin	mengingatkan
nginjek	menginjak
ngintip	mengintip
ngirim	mengirim
ngiringan	mengiringi
ngiritya	mengiritnya
ngisi	mengisi
ngk	tidak
ngobrol	mengobrol
ngoceh	mengoceh
ngocok	mengocok
ngomen	mengomentari
ngomenin	mengomentari
ngomentarin	mengomentari
ngomongin	membicarakan
ngorbanin	mengorbankan
ngrebut	merebut
ngrti	mengerti
ngrusak	merusak
ngrusin	mengurusi
ngtain	mengatai
ngtif	negatif
ngucapin	mengucapkan
ngulangin	mengulangi
ngumbar	mengumbar
ngumbar-ngumbar	mengumbar-umbar
ngumpat-ngumpat	mengumpat-umpat
ngungkit-ngungkit	mengungkit-ungkit
ngurusin	mengurusi
nich	nih
niech	nih
nihh	nih
niih	nih
niihh	nih
nikaah	nikah
nikahin	menikahi
nikmatin	menikmati
ninggalin	meninggalkan
ninggiin	meninggikan
niru	meniru
njay	anjay
njayy	anjay
njer	anjir
njerr	anjir
njiirr	anjir
njir	anjir
njirr	anjir
nkah	nikah
nmnya	namanya
nmr	nomor
nnt	nanti
nnti	nanti
nntn	menonton
nnton	menonton
nonton	menonton
nontonny	menontonnya
nontonx	menontonnya
nontonya	menontonnya
novembr	november
nraktir	mentraktir
ntab	mantap
ntaf	mantap
ntah	entah
ntap	mantap
ntaps	mantap
ntar	nanti
ntik	cantik
ntikk	cantik
nton	menonton
nuduh	menuduh
nuhun	terima kasih
nulis	menulis
nunduk	menunduk
nunggu	menunggu
nungguin	menunggu
nuntut	menuntut
nusuk	menusuk
nutup " in	menutup-nutupi
nutupin	menutupi
ny	nya
nyaa	nya
nyakitin	menyakiti
nyalahin	menyalahi
nyambet	menyambat
nyambung	menyambung
nyampe	sampai
nyampein	menyampaikan
nyampenya	sampainya
nyangka	menyangka
nyangkaa	menyangka
nyaranin	menyarankan
nyari	mencari
nyatakan	menyatakan
nyatok	mencatok
nyebelin	menyebalkan
nyebur	mencebur
nyebut-nyebut	menyebut-nyebut
nyekar	menyekar
nyela	mencela
nyenengin	menyenangkan
nyerang	menyerang
nyesel	menyesal
nyesell	menyesal
nyia2in	menyia-nyiakan
nyicil	mencicil
nyimak	menyimak
nyimpen	menyimpan
nyindir	menyindir
nyiram	menyiram
nyoba	mencoba
nyoblos	mencoblos
nyok	ayo
nyokap	ibu
nyubit	mencubit
nyubitt	mencubit
nyusahhin	menyusahkan
nyusahin	menyusahkan
nyusul	menyusul
ol	online
omdo	omong doang
oon	bodoh
oprasi	operasi
oprasiya	operasinya
orabg	orang
orangg	orang
org-org	orang-orang
orgny	orangnya
orlaen	orang lain
orng	orang
ortu	orang tua
ortuny	orang tuanya
ortunya	orang tuanya
owh	oh
paati	pasti
pacara	pacaran
pacarane	pacarannya
pacaranya	pacarannya
pacarn	pacaran
pacarnyaa	pacarnya
pacarr	pacar
padahall	padahal
padahl	padahal
padet	padat
padhe	pakde
padhl	padahal
pahalax	pahalanya
pahamin	pahami
pait	pahit
pake	pakai
pakek	pakai
pakke	pakai
pala	kepala
palinf	paling
pandanginya	memandanginya
panggilan ' y	panggilannya
panggilan ' ya	panggilannya
pankapan	kapan-kapan
pantes	pantas
pantess	pantas
paraah	parah
parahh	parah
pas2an	pas-pasan
pasangn	pasangan
pastii	pasti
payahh	payah
pcar	pacar
pcaran	pacaran
pcaranya	pacarannya
pcarny	pacarnya
pcran	pacaran
pcrnya	pacarnya
pdahal	padahal
pdhal	padahal
pdhall	padahal
pdhl	padahal
pedes	pedas
peengn	ingin
pelastik	plastik
pelem	film
peliharaa	pelihara
pelwak	pelawak
pemainy	pemainnya
pembokat	pembantu
penasarann	penasaran
penasarn	penasaran
penbelian	pembelian
pengalam	pengalaman
penganten	pengantin
pengeen	ingin
pengeenn	ingin
pengen	ingin
pengenn	ingin
pengennya	inginnya
penghrgaan	penghargaan
pengikuy	pengikut
pensaran	penasaran
pentingg	penting
penyakitny	penyakitnya
peragain	peragakan
perasaanny	perasaannya
perbaikin	perbaiki
percya	percaya
perhatiin	perhatikan
perilakuny	perilakunya
pernikahn	pernikahan
personill	personil
pertamany	pertamanya
pertamax	pertama
pertma	pertama
pesen	pesan
pesenan	pesanan
pesenin	pesankan
pgang	pegang
pilihanny	pilihannya
pilihnmu	pilihanmu
pilm	film
pingin	ingin
pinginn	ingin
pinter	pintar
pintr	pintar
pjg	panjang
pkai	pakai
pkoknya	pokoknya
pkoknyaa	pokoknya
pkrin	pikirkan
pla	pula
plampiasann	pelampiasan
pling	paling
pljaran	pelajaran
pljrn	pelajaran
plsa	pulsa
pmbantu	pembantu
pmbelajaran	pembelajaran
pmbyran	pembayaran
pmrnth	pemerintah
pndapat	pendapat
pngen	ingin
pngenn	ingin
pnjang	panjang
pnjng	panjang
pnjual	penjual
pnting	penting
pnuh	penuh
pny	punya
pnya	punya
pnyaa	punya
positip	positif
positipp	positif
prasaan	perasaan
prawatan	perawatan
prcuma	percuma
prcy	percaya
prcya	percaya
prempuan	perempuan
prhatian	perhatian
priksa	periksa
prjuangan	perjuangan
prlu	perlu
prmpuan	perempuan
prnah	pernah
prnh	pernah
prodaknya	produknya
prsatukn	persatukan
prwatn	perawatan
prwtn	perawatan
psangan	pasangan
pst	pasti
psti	pasti
pswt	pesawat
puanas	panas
pucing	pusing
pulaa	pula
pulak	pula
punyaa	punya
pusingg	pusing
putihh	putih
putihnyaa	putihnya
pyudara	payudara
q	aku
qm	kamu
qmo	kamu
qmu	kamu
qo	kok
qt	kita
qta	kita
qu	aku
rame	ramai
rame-rame	ramai-ramai
rb	ribu
recomendasinya	rekomendasinya
recommendasi	rekomendasi
redho	ridho
rehab	rehabilitasi
rejeki	rezeki
relaa	rela
rempong	repot
repong	repot
rezeqinya	rezekinya
rezki	rezeki
rhs	rahasia
rinduu	rindu
rmbt	rambut
rmbut	rambut
rmbutnya	rambutnya
rmbuut	rambut
rmh	rumah
romantisny	romatisnya
romantiss	romantis
romantiz	romantis
romntis	romantis
rumh	rumah
rupa2nya	rupa-rupanya
rusakk	rusak
s3ndiri	sendiri
sabaar	sabar
sabaarr	sabar
sabarr	sabar
sahabatt	sahabat
saia	aku
saiank	sayang
salaam	salam
salahin	salahkan
salfok	salah fokus
salluutt	salut
salting	salah tingkah
samaa	sama
samoga	semoga
sampe	sampai
sampein	sampaikan
sampeyan	kamu
samsek	sama sekali
sangaat	sangat
sangaatt	sangat
sangatt	sangat
saranin	sarankan
satuu	satu
saudra	saudara
saya	aku
sayaa	aku
sayaang	sayang
sayangkuh	sayangku
sayangq	sayangku
sayangx	sayangnya
sbagai	sebagai
sbaiknya	sebaiknya
sbelah	sebelah
sbelum	sebelum
sbenernya	sebenarnya
sbg	sebagai
sbgai	sebagai
sblah	sebelah
sblh	sebelah
sblm	sebelum
sblmny	sebelumnya
sblmnya	sebelumnya
sblum	sebelum
sbnarnya	sebenarnya
sbnrny	sebenarnya
sbnyak	sebanyak
sbr	sabar
sbuah	sebuah
scara	secara
scpatny	secepatnya
scr	secara
scra	secara
sdah	sudah
sdg	sedang
sdgkn	sedangkan
sdh	sudah
sdkit	sedikit
sdkit-sdkit	sedikit-sedikit
sdkt	sedikit
sdngkn	sedangkan
sdri	sendiri
se7	setuju
seandainy	seandainya
sebelum2nya	sebelum-sebelumnya
sebelumbya	sebelumnya
sebenernya	sebenarnya
sebnyak	sebanyak
sedangkn	sedangkan
sedihh	sedih
seger	segar
segerr	segar
seharusny	seharusnya
sekali-sekali	sekali-kali
sekarng	sekarang
sekjen	sekretaris jenderal
sekolahin	sekolahkan
sekrang	sekarang
sekrng	sekarang
seksii	seksi
selaloe	selalu
selaluu	selalu
selmat	selamat
selmnya	selamanya
selmt	selamat
seluru	seluruh
semangaat	semangat
semangaatt	semangat
semangatt	semangat
semngat	semangat
semogaa	semoga
sempet	sempat
sempet2nya	sempat-sempatnya
sempurnaa	sempurna
semuannyaa	semuanya
sendirii	sendiri
sendirinnya	sendirinya
sendirinyya	sendirinya
seneeng	senang
seneng	senang
senengg	senang
seorg	seorang
serem	seram
seru2an	seru-seruan
seruu	seru
sesatt	sesat
sesek	sesak
sesekk	sesak
setabil	stabil
setju	setuju
setujuu	setuju
sexi	seksi
sexi-sexi	seksi-seksi
sexxi	seksi
sgampang	segampang
sgla	segala
sgt	sangat
shabat	sahabat
sharusnya	seharusnya
shat	sehat
shbat	sahabat
shbt	sahabat
shg	sehingga
sia2kan	sia-siakan
siapaa	siapa
sibukx	sibuknya
sich	sih
sidak	inspeksi mendadak
siech	sih
sieyh	sih
sihh	sih
siih	sih
siihh	sih
silahkan	silakan
silahkn	silakan
silsturahmi	silaturahmi
simpen	simpan
siriik	sirik
sirikk	sirik
sja	saja
skali	sekali
skali-skali	sekali-kali
skalian	sekalian
skaligus	sekaligus
skalii	sekali
skarang	sekarang
skedar	sekadar
skg	sekarang
skitar	sekitar
skl	sekali
sklh	sekolah
sklinyaa	sekalinya
skluarga	sekeluarga
skolah	sekolah
skr	sekarang
skrang	sekarang
skrg	sekarang
skrng	sekarang
sktika	seketika
skul	sekolah
slalu	selalu
slamat	selamat
slamet	selamat
slesai	selesai
slh	salah
sling	saling
sllu	selalu
slma	selama
slmat	selamat
slmt	selamat
slsai	selesai
smakin	semakin
smangat	semangat
smbil	sambil
smentara	sementara
smg	semoga
smga	semoga
smgaa	semoga
smkin	semakin
smngat	semangat
smnjak	semenjak
smog	semoga
smoga	semoga
smpai	sampai
smpe	sampai
smpt	sempat
smrg	semarang
smster	semester
smua	semua
smula	semula
sna	sana
sndiri	sendiri
sndr	sendiri
sndri	sendiri
sneng	senang
sngaja	sengaja
sngt	sangat
soalx	soalnya
sok2an	sok-sokan
sokk	sok
somse	sombong sekali
songong	sombong
sotoy	sok tahu
sowry	maaf
sperti	seperti
spertinya	sepertinya
sprti	seperti
spt	seperti
spti	seperti
spy	supaya
srng	sering
srta	serta
srtfkt	sertifikat
ssorg	seseorang
sstu	sesuatu
staf2nya	staf-stafnya
stagahh	astaga
statusx	statusnya
stelah	setelah
stiap	setiap
stidaknya	setidaknya
stimpal	setimpal
stju	setuju
stlh	setelah
stp	setiap
stress	stres
sttus	status
stuju	setuju
suamii	suami
suaminga	suaminya
suaminy	suaminya
suaranyaa	suaranya
subahanallah	subhanallah
subhanaallahh	subhanallah
subhanalloh	subhanallah
subhannallah	subhanallah
subhnallah	subhanallah
sucses	sukses
sudh	sudah
suipit	sipit
sukaa	suka
sukkaa	suka
sukse	sukses
suksea	sukses
suksess	sukses
sumbangin	sumbangkan
sumpahh	sumpah
sumvahh	sumpah
supeer	super
surgaa	surga
sweger	segar
swmntara	sementara
sya	aku
syang	sayang
syantiek	cantik
syantiikk	cantik
syantik	cantik
syediih	sedih
syediihh	sedih
syekalii	sekali
syg	sayang
sygkuu	sayangku
syng	sayang
syngnya	sayangnya
synk	sayang
syratnya	syaratnya
t4	tempat
taek	tahi
taekk	tahi
tai	tahi
taii	tahi
taik	tahi
takutt	takut
takuut	takut
tambahh	tambah
tambahim	tambahkan
tambahin	tambahkan
tambh	tambah
tampialannya	tampilannya
tamvann	tampan
tanda2nya	tanda-tandanya
tangkep	tangkap
tantee	tante
tanteny	tantenya
tanyain	tanyakan
taon	tahun
tapii	tapi
tar	nanti
tau	tahu
taun	tahun
tauu	tahu
taux	tahunya
tbuh	tubuh
td	tadi
tdak	tidak
tdi	tadi
tdk	tidak
tdr	tidur
tdur	tidur
te2p	tetap
tebel	tebal
tegaar	tegar
tehh	teh
telefisi	televisi
telimakacih	terima kasih
tembemm	tembem
tembokk	tembok
temen	teman
temen "	teman-teman
temen-temen	teman-teman
temenkuuh	temanku
temenn	teman
temennya	temannya
tempt	tempat
tengaj	tengah
tentanh	tentang
terangkhn	terangkan
terbaek	terbaik
terbaeq	terbaik
terbaiik	terbaik
terbaikk	terbaik
terbitin	terbitkan
terhaaru	terharu
terharuu	terharu
terimaksih	terima kasih
teringet	teringat
teringt	teringat
terjrumus	terjerumus
terkenall	terkenal
termuraah	termurah
termuraahh	termurah
termurahh	termurah
ternyataa	ternyata
terong2an	terong-terongan
teros	terus
teross	terus
terrbaik	terbaik
terus2an	terus-terusan
teruss	terus
teruz	terus
teruzz	terus
testi	testimoni
testinya	testimoninya
tetaplaah	tetaplah
tetapp	tetap
tetep	tetap
tetp	tetap
tggu	tunggu
tgk	tengok
tgu	tunggu
thanks	terima kasih
thankz	terima kasih
thd	terhadap
thdp	terhadap
thn	tahun
thnan	tahunan
thun	tahun
thx	terima kasih
tidakk	tidak
tiga2nya	tiga-tiganya
tinggalin	tinggalkan
tinggalkn	tinggalkan
tinggall	tinggal
tinggl	tinggal
tipiwan	tvone
tipu2nya	tipu-tipunya
tks	terima kasih
tkut	takut
tlg	tolong
tlp	telepon
tlpn	telepon
tls	tulis
tlsn	tulisan
tman	teman
tmbah	tambah
tmbh	tambah
tmen	teman
tmen-tmen	teman-teman
tmn	teman
tmn-tmn	teman-teman
tmn2nya	teman-temannya
tmpt	tempat
tnang	tenang
tnggu	tunggu
tnh	tanah
tnp	tanpa
tnpa	tanpa
tntg	tentang
tntram	tenteram
tnya	tanya
tnyta	ternyata
tohh	toh
tokai	tahi
tokayy	tahi
tolernsi	toleransi
tpii	tapi
tq	terima kasih
trasa	terasa
trbaik	terbaik
trbaikk	terbaik
trbukti	terbukti
trdhulu	terdahulu
trganggu	terganggu
trgntg	tergantung
trhtung	terhitung
trima	terima
trims	terima kasih
trjadi	terjadi
trjd	terjadi
trknal	terkenal
trkrim	terkirim
trlalu	terlalu
trlihat	terlihat
trll	terlalu
trmanis	termanis
trmasuk	termasuk
trmsuk	termasuk
trnyata	ternyata
trnyt	ternyata
troma	trauma
trpsah	terpisah
trserah	terserah
trserh	terserah
trsrh	terserah
trus	terus
truss	terus
trutama	terutama
trz	terus
tsb	tersebut
ttap	tetap
ttd	tertanda
ttep	tetap
ttg	tentang
tuch	tuh
tuhanny	tuhannya
tuhh	tuh
tuk	untuk
tukan	tukang
tullus	tulus
tumpe-tumpe	tumpah-tumpah
tunjukan	tunjukkan
tunjukin	tunjukkan
tutorialx	tutorialnya
tuu	tuh
tuuh	tuh
tuwh	tuh
tw	tahu
uapik	bagus
ucul	lucu
ucull	lucu
udah	sudah
udah-udah	sudah-sudah
udahh	sudah
udahlah	sudahlah
udeh	sudah
udehh	sudah
udh	sudah
uitnya	duitnya
ujg	ujung
ujung2nya	ujung-ujungnya
ultah	ulang tahun
ungkapin	ungkapkan
univ	universitas
untk	untuk
urang	aku
urat2nya	urat-uratnya
urg	aku
ursan	urusan
urusanny	urusannya
urusn	urusan
utang	hutang
utk	untuk
utkmu	untukmu
vol	volume
w	aku
wajiib	wajib
waktunyaa	waktunya
wanitah	wanita
wanjerr	anjir
wanjiir	anjir
wanjir	anjir
warbiyasah	luar biasa
warnaa	warna
warnany	warnanya
wat	buat
wjh	wajah
wktu	waktu
wktunya	waktunya
wlau	walau
wlaupun	walaupun
wlawpun	walaupun
wlo	walau
wlwpun	walaupun
wrn	warna
wuastagah	astaga
ya	iya
yaa	iya
yaampun	iya ampun
yaampunn	ya ampun
yaampuun	ya ampun
yaang	yang
yakinn	yakin
yaoloh	iya allah
yaolohh	iya allah
yap	iya
yapz	iya
yaudah	iya sudah
yaudh	iya sudah
yauwda	iya sudah
yawdah	iya sudah
yawlah	iya allah
yawloh	iya allah
yg	yang
yng	yang
yok	ayo
yokk	ayo
yowes	iya sudah
yq	yang
yuk	ayo
yukk	ayo
yuks	ayo
yukss	ayo
yup	iya
yuppss	iya
z	saja
za	saja
